fornavn;1950;1960;1970;1980;1990;2000
Aage;44;23;7;0;5;0
Aaron;0;0;0;4;5;0
Aasmund;0;8;0;5;5;0
Abbas;0;5;6;4;0;0
Abdallah;0;0;0;0;0;7
Abdi;0;8;14;17;8;8
Abdirahman;0;5;12;8;13;22
Abdul;11;17;9;6;13;32
Abdulkadir;0;5;4;0;4;4
Abdullah;0;5;5;8;12;20
Abdullahi;0;5;13;16;10;16
Abdulrahman;0;4;5;5;4;0
Abel;0;0;0;5;11;21
Abraham;0;7;4;6;11;5
Adam;0;16;56;81;55;44
Adel;0;0;0;4;0;0
Adem;0;0;0;5;0;0
Adil;0;0;4;4;6;6
Adnan;0;6;6;14;13;6
Adrian;0;4;10;34;156;394
Agnar;20;12;10;0;0;4
Ahmad;8;7;13;27;47;40
Ahmed;16;33;49;68;54;51
Ahmet;0;5;12;10;5;0
Aiden;0;0;0;0;0;0
Ailo;0;0;0;0;0;0
Aksel;26;19;16;12;21;74
Alan;5;9;4;9;11;9
Albert;10;15;11;11;13;22
Alejandro;0;4;0;4;6;0
Aleksandar;0;0;0;11;9;0
Aleksander;0;0;14;64;263;211
Aleksandr;0;0;6;11;7;0
Aleksandrs;0;0;0;11;5;0
Alex;0;6;7;14;11;11
Alexander;6;9;56;136;443;270
Alexandru;0;0;0;9;15;4
Alf;220;167;119;48;29;17
Alfred;25;25;10;4;7;8
Ali;20;40;50;66;67;86
Allan;7;13;18;6;9;0
Alv;12;5;0;0;0;0
Alvin;0;0;0;0;0;4
Amanuel;0;0;4;4;12;0
Amar;0;0;0;5;0;0
Amer;0;0;7;12;0;4
Amin;0;0;0;7;12;16
Amir;0;15;16;22;21;19
Ammar;0;0;0;4;7;6
Amund;15;10;7;41;24;50
Anas;0;0;0;0;4;6
Anders;129;159;232;501;551;244
Andre;0;22;150;170;200;113
Andreas;46;39;77;356;689;550
Andrei;0;0;5;6;12;0
Andrej;0;0;0;9;5;0
Andres;5;0;4;7;8;6
Andrew;7;6;19;12;11;5
Andris;0;0;0;9;6;0
Andrius;0;0;4;24;24;0
Andrzej;9;55;68;54;11;0
Annar;0;0;0;0;0;0
Ansgar;7;5;0;0;0;0
Anthony;0;9;5;7;5;12
Anton;20;13;8;14;20;29
Antoni;0;6;4;0;0;0
Antonio;0;6;10;16;12;9
Anwar;0;0;0;8;4;0
Aram;0;0;0;0;6;0
Are;19;32;65;33;51;21
Ari;0;0;8;0;0;0
Arian;0;0;0;0;0;12
Arild;317;284;219;93;36;17
Arkadiusz;0;0;20;41;14;0
Arman;0;0;0;0;9;8
Armin;0;0;0;5;6;6
Arn;0;0;0;0;0;0
Arne;747;495;273;132;78;40
Arnfinn;91;68;33;15;8;0
Arnold;30;13;0;0;0;0
Arnstein;14;42;13;26;5;0
Arnt;57;91;75;42;13;10
Arnulf;19;15;0;0;0;0
Aron;0;0;4;7;13;40
Arthur;19;17;6;7;8;22
Artur;0;6;29;52;22;4
Arturas;0;0;11;9;15;0
Arunas;0;0;16;8;0;0
Arve;116;138;154;29;13;5
Arvid;217;101;56;22;10;6
Arvin;0;0;0;0;0;0
Arvydas;0;0;4;0;5;0
Aryan;0;0;0;0;0;0
Asbjørn;211;88;70;48;36;21
Asgeir;7;29;22;25;6;15
Ask;0;0;0;0;4;26
Aslak;10;12;11;13;14;22
Asle;40;47;49;31;10;8
Asmund;5;7;4;0;0;0
Atle;82;140;182;83;56;16
Audrius;0;0;9;13;10;0
Audun;51;57;57;80;48;37
August;0;0;0;0;10;75
Aurimas;0;0;0;9;14;0
Axel;8;7;15;11;31;44
Ayman;0;0;0;4;0;0
Baard;0;7;18;5;0;0
Balder;0;0;0;0;0;5
Bartlomiej;0;0;0;25;18;7
Bartosz;0;0;0;16;19;0
Bastian;0;0;0;0;5;14
Ben;4;8;12;10;7;7
Bendik;0;0;7;13;57;89
Bengt;39;54;48;25;11;0
Benjamin;5;0;12;37;112;329
Benny;5;0;5;8;0;0
Bent;29;77;84;25;19;0
Bernard;0;0;5;0;0;0
Bernhard;17;6;4;11;7;6
Bernt;83;73;67;43;26;0
Bertil;7;0;5;5;0;0
Bilal;0;0;5;0;14;18
Birger;104;56;16;21;7;7
Birk;0;0;0;0;5;49
Bjarne;155;66;55;39;20;5
Bjarte;9;31;56;46;17;6
Bjørge;0;0;9;7;4;0
Bjørn;939;952;794;358;226;102
Bjørn-Erik;0;0;10;9;4;0
Bjørnar;58;64;97;96;90;53
Bo;0;12;16;12;13;10
Bogdan;0;4;13;11;5;0
Boguslaw;0;8;10;6;0;0
Borgar;0;0;7;0;4;6
Boris;0;0;5;0;5;0
Brage;0;0;5;5;16;89
Brede;4;10;9;12;16;32
Brian;7;4;9;14;12;22
Bror;7;6;7;0;7;12
Bruno;0;0;0;6;6;4
Brynjar;10;13;7;7;13;12
Brynjulf;8;8;0;0;0;0
Børge;18;34;74;40;13;14
Børre;21;34;41;11;0;0
Bård;37;83;132;80;53;18
Carl;45;55;52;76;92;56
Carlos;6;14;11;21;12;11
Carsten;5;15;17;7;4;0
Casper;0;0;0;0;7;68
Caspian;0;0;0;0;0;0
Cato;12;42;94;67;49;9
Charles;17;6;19;9;9;4
Charlie;0;0;0;0;4;0
Chris;0;0;12;18;81;32
Christen;0;0;6;0;0;0
Christer;0;0;44;60;194;32
Christian;25;41;173;418;423;249
Christoffer;0;0;6;45;249;166
Christopher;9;13;20;53;129;65
Claes;0;0;7;8;0;0
Claus;0;18;12;8;0;5
Colin;5;0;0;4;0;5
Conrad;0;0;0;0;0;6
Constantin;0;0;4;5;0;0
Cornelius;0;0;0;0;5;7
Cristian;0;0;0;10;5;0
Dag;178;316;289;107;58;22
Dagfinn;105;57;33;15;0;0
Dainius;0;0;7;13;8;0
Damian;0;0;0;30;35;8
Dan;9;31;36;64;74;16
Dani;0;0;0;0;13;5
Daniel;9;12;34;300;656;485
Danny;0;0;0;4;5;5
Darius;0;0;15;27;6;0
Dariusz;0;13;81;41;13;0
David;36;38;62;124;123;118
Dawid;0;0;0;23;42;17
Dawit;0;0;0;8;7;0
Deividas;0;0;0;8;13;0
Dejan;0;0;7;7;5;0
Denis;0;0;5;4;7;4
Dennis;0;8;6;10;39;84
Didrik;0;5;7;9;26;50
Diego;0;0;0;7;10;4
Dominic;0;0;0;0;0;0
Dominik;0;0;0;10;17;5
Donatas;0;0;0;15;13;0
Dragan;0;4;6;8;0;0
Eddie;0;9;8;0;4;0
Edgar;32;19;11;5;4;5
Edin;0;0;5;0;6;0
Edmund;13;8;4;4;0;0
Edvard;22;9;13;11;19;58
Edvin;29;20;10;7;4;13
Edward;6;17;5;9;11;18
Edwin;0;0;7;5;5;0
Egidijus;0;0;11;14;15;0
Egil;287;167;98;39;7;12
Eigil;14;0;7;5;4;0
Eilert;11;9;5;6;0;0
Eilif;30;5;9;0;0;0
Einar;288;200;126;89;72;65
Eirik;39;50;153;185;450;325
Eivind;96;93;126;149;123;135
Eldar;20;19;9;4;0;0
Eliah;0;0;0;0;0;0
Elias;0;0;5;9;27;232
Elling;13;9;5;4;6;5
Elliot;0;0;0;0;0;0
Emanuel;0;0;0;0;0;6
Emil;13;11;12;33;240;318
Emilian;0;0;0;0;0;0
Emilio;0;0;0;4;0;5
Emir;0;0;0;0;5;0
Emmanuel;0;0;4;5;8;7
Emre;0;0;0;0;0;8
Emrik;0;0;0;0;0;0
Endre;23;22;49;48;52;57
Eric;0;10;25;21;19;22
Erik;319;309;341;304;373;266
Erland;16;17;18;13;13;6
Erlend;9;9;64;147;167;181
Erling;134;115;62;44;54;48
Ernst;36;35;21;6;7;0
Esben;0;7;11;10;8;0
Eskil;0;0;16;27;21;90
Eskild;5;0;0;11;15;12
Espen;10;105;393;341;434;129
Esten;0;0;0;0;5;0
Evald;6;7;0;0;0;0
Evaldas;0;0;0;12;5;0
Even;19;36;46;55;119;191
Eystein;0;0;4;15;0;0
Eyvind;9;6;7;6;4;0
Fabian;0;0;0;4;19;44
Faisal;0;0;0;5;8;0
Falk;0;0;0;0;0;0
Farhad;0;5;0;6;4;7
Felix;0;0;4;9;17;44
Ferdinand;0;0;0;0;4;12
Fernando;0;5;0;8;4;0
Filip;0;0;0;19;30;113
Fillip;0;0;0;0;0;0
Finn;213;136;72;29;21;22
Flemming;0;5;14;0;4;4
Florian;0;0;0;4;0;4
Francis;0;5;0;4;0;0
Francisco;0;5;4;10;4;4
Franciszek;0;0;0;0;0;4
Frank;163;282;332;166;72;16
Frans;0;0;0;0;4;5
Fred;26;39;39;11;7;5
Freddy;28;29;49;14;8;0
Frederik;0;0;0;0;19;15
Fredrick;0;0;0;6;15;11
Fredrik;22;20;60;218;525;407
Fridtjof;10;0;6;0;8;5
Frithjof;8;0;0;0;0;0
Frits;7;0;0;0;0;0
Fritz;16;12;4;0;0;0
Frode;82;266;528;218;43;7
Gabriel;6;5;10;14;21;71
Gard;0;11;24;13;21;52
Gaute;15;13;34;32;26;31
Gediminas;0;0;4;5;12;0
Geir;260;885;846;287;75;18
Georg;39;22;17;23;10;31
George;0;7;9;12;8;5
Georgios;0;5;0;8;8;0
Gerhard;5;8;7;0;0;0
Gert;0;0;11;4;0;0
Giedrius;0;0;10;9;8;0
Gintaras;0;0;13;11;4;0
Gisle;13;28;42;14;18;0
Gjermund;11;14;32;19;19;16
Gjert;9;7;12;0;0;0
Glen;0;0;5;7;8;0
Glenn;0;32;132;133;118;18
Goran;0;0;14;11;7;0
Gorm;0;4;15;0;0;6
Grzegorz;0;12;55;79;20;0
Gudbrand;7;6;0;0;0;0
Gudmund;39;15;5;4;6;0
Gunnar;496;246;146;58;27;26
Gunvald;21;0;0;0;0;0
Gustav;26;8;7;8;19;22
Guttorm;31;16;13;6;0;0
Gøran;0;9;30;27;25;12
Haakon;9;13;19;24;55;83
Haavard;0;5;0;7;0;5
Hadi;0;0;0;0;6;0
Haldor;9;6;0;0;0;0
Halfdan;5;0;0;0;0;0
Hallgeir;0;51;20;13;4;4
Hallstein;5;6;0;0;0;0
Hallvard;35;12;25;22;17;24
Halvard;36;27;19;10;10;13
Halvor;34;45;31;41;35;46
Hamid;0;15;4;5;0;7
Hamza;0;0;4;7;10;15
Hans;471;383;391;275;201;164
Hans-Petter;5;4;11;7;0;0
Harald;417;275;208;88;59;61
Haris;0;0;0;0;0;6
Harry;85;33;18;4;11;0
Hasan;5;6;19;13;8;11
Hassan;4;16;24;24;25;24
Hauk;0;0;0;0;0;12
Heine;0;7;11;11;9;23
Helge;393;295;231;104;56;14
Helmer;0;6;0;0;0;0
Henning;51;75;118;110;75;61
Henrik;24;55;76;141;327;478
Henry;58;18;11;5;15;19
Henryk;0;15;4;0;0;0
Herman;10;10;9;9;29;168
Hermann;21;8;0;5;0;26
Hermod;11;0;0;0;0;0
Hilmar;12;8;0;0;0;0
Hjalmar;12;5;0;0;0;5
Hogne;0;8;10;6;0;6
Holger;5;7;8;0;0;0
Hubert;0;0;0;4;0;10
Hugo;30;36;35;10;11;16
Hussain;0;0;0;4;5;5
Hussein;0;10;11;18;15;6
Håkon;90;101;105;152;211;245
Håvar;0;0;9;13;8;11
Håvard;64;58;167;215;150;217
Ian;9;9;11;6;0;9
Ibrahim;4;7;16;28;26;24
Idar;31;27;21;13;9;11
Idris;0;0;0;5;0;0
Igor;0;4;7;20;13;4
Ilyas;0;0;0;0;0;6
Imran;0;0;0;15;0;7
Imre;0;0;0;0;0;7
Ingar;57;38;45;10;15;5
Inge;140;115;127;52;12;6
Ingebrigt;6;0;0;0;0;5
Ingmar;0;12;0;0;0;0
Ingolf;8;9;0;0;0;0
Ingvald;19;8;7;0;4;0
Ingvar;30;22;16;9;5;0
Ingve;5;5;11;8;6;4
Ireneusz;0;0;14;9;0;0
Isa;0;0;0;0;4;0
Isaac;0;0;0;0;6;6
Isac;0;0;0;0;0;12
Isak;9;4;0;8;18;145
Ismail;0;10;7;14;12;14
Ivan;7;15;33;38;29;25
Ivar;251;154;123;59;36;34
Iver;15;8;10;7;18;63
Ivo;0;0;4;5;0;0
Jacek;0;9;60;42;6;0
Jack;17;26;15;4;14;8
Jacob;9;0;14;13;30;81
Jahn;12;0;16;8;10;0
Jakob;23;16;13;23;32;134
Jakub;0;0;0;20;39;34
Jamal;0;10;8;12;5;4
James;0;6;22;19;13;8
Jan;1303;1337;1113;539;283;118
Jan-Erik;20;17;30;18;14;0
Janis;0;0;9;22;11;0
Jann;13;6;8;0;0;0
Janusz;6;26;22;11;0;0
Jaran;0;0;0;0;5;5
Jarand;0;0;0;0;8;16
Jardar;0;0;6;0;0;10
Jarl;30;41;26;13;23;10
Jarle;113;159;185;111;43;12
Jaroslaw;0;9;37;32;7;0
Jason;0;0;11;10;4;0
Jean;0;5;10;12;13;6
Jens;143;102;113;85;90;115
Jeppe;0;0;0;0;5;10
Jerzy;7;28;24;8;0;0
Jesper;0;0;9;9;26;93
Jim;7;23;35;38;41;9
Jimmy;0;7;10;14;16;6
Jo;11;24;70;39;28;33
Joachim;0;0;16;66;191;95
Joacim;0;0;0;6;19;8
Joakim;0;0;6;75;333;226
Joao;0;0;0;8;6;0
Joar;22;25;20;22;16;21
Joel;0;0;4;4;8;14
Johan;142;87;74;99;95;129
Johann;6;4;7;4;5;14
Johannes;75;46;30;44;59;157
John;405;380;358;222;161;111
Johnny;105;153;133;40;28;10
Jomar;5;11;6;0;0;4
Jon;238;297;323;266;205;106
Jonah;0;0;0;0;0;0
Jonas;0;8;20;83;338;507
Jonatan;0;0;0;0;17;46
Jonathan;0;4;9;18;45;111
Jone;0;7;14;18;19;17
Jonn;4;0;0;0;0;0
Jonny;42;77;89;24;12;0
Jorge;0;7;9;11;7;0
Jose;10;20;24;26;14;0
Josef;7;0;4;8;4;13
Joseph;0;8;10;10;10;5
Joshua;0;0;0;6;10;11
Jostein;130;110;104;87;64;50
Jozef;0;16;16;8;4;0
Juan;4;0;16;15;13;6
Julian;0;0;9;5;36;63
Julius;0;0;5;6;10;13
Justin;0;0;6;4;0;4
Jøran;0;12;13;24;22;11
Jørg;0;6;6;0;0;0
Jørgen;52;45;87;198;312;288
Jørn;58;181;210;100;61;21
Jørund;0;6;7;8;4;8
Kaare;12;6;10;0;0;0
Kacper;0;0;0;0;0;27
Kai;85;125;126;81;39;11
Kaj;8;9;10;4;0;0
Kamal;0;0;0;5;4;0
Kamil;0;0;0;18;62;13
Karim;0;0;5;5;6;0
Karl;207;118;117;127;98;74
Karol;0;0;0;22;21;5
Karolis;0;0;0;0;20;0
Karstein;30;13;11;0;0;0
Karsten;48;21;24;17;13;17
Kasper;0;0;0;7;23;94
Kato;5;0;8;0;0;4
Kay;6;15;17;37;16;0
Kazimierz;0;16;7;5;0;0
Ken;0;12;54;33;42;13
Kennet;0;0;12;7;12;7
Kenneth;0;57;254;308;281;43
Kenny;0;0;0;0;6;9
Kent;11;16;70;78;69;12
Kestutis;0;5;6;15;14;0
Ketil;47;86;104;29;16;0
Kevin;0;5;7;28;64;158
